Name,Type 1,Type 2,Ability,Item,Nature,HP,Atk,Def,Sp. Atk,Sp. Def,Spe,Move 1,Move 2 ,Move 3,Move 4
Malamar,Dark,Psychic,Contrary,Leftovers,Adamant,204,196,,,100,4,Topsy-Turvy,Baton Pass,Superpower,Knock Off
Orthworm,Steel,,Earth Eater,Figy Berry,Impish,252,,4,,252,,Shed Tail,Body Press,Sand Tomb,Wrap
Baxcalibur,Dragon,Ice,Ice Body,Icy Rock,Mild,12,,100,252,44,100,Snowscape,Draco Meteor,Glaive Rush,Blizzard
Banette,Ghost,,Cursed Body,Leftovers,Adamant,,20,236,,252,,Swords Dance,Phantom Force,Sucker Punch ,Knock Off
Florges,Fairy,,Flower Veil,Leftovers,Modest,220,,252,36,,,Calm Mind,Moonblast,Giga Drain,Stored Power
Salazzle,Poison,Fire,Corrosion,Eject Pack,Timid,108,,,148,,252,Toxic Spikes,Overheat,Venoshock,Fake Out
Glalie,Ice,,Moody,Weakness Policy,Bold,4,92,156,,252,4,Protect,Sheer Cold ,Blizzard,Earthquake
Morpeko,Electric,Dark,Hunger Switch,Focus Sash,Adamant,252,172,28,,28,28,Baton Pass,Endeavor,Aura Wheel ,Rapid Spin
Venusaur,Grass,Poison,Chlorophyll,Heat Rock,Modest,228,,140,132,4,4,Sunny Day,Sleep Powder,Sludge Bomb,Giga Drain
Wyrdeer,Normal,Psychic,Intimidate,Wiki Berry,Quiet,16,196,76,92,52,76,Thunderwave,Calm Mind,Psyshield Bash,Stored Power
Ribombee,Bug,Fairy,Shield Dust,Fairy Feather,Modest,252,,76,180,,,Sticky Web,Quiver Dance,Moonblast,Draining Kiss
Gardevoir,Psychic,Fairy,Trace,Life Orb,Quiet,68,,252,36,4,148,Will-O-Wisp,Moonblast,Psychic Noise,Charge Beam
Toxtricity,Poison,Electric,Punk Rock,Throat Spray,Mild,4,156,76,20,,252,Shift Gear,Boomburst,Gunk Shot,Electro Ball
Copperajah,Steel,,Heavy Metal,Leftovers,Adamant,4,,252,,252,,Heat Crash,Heavy Slam,Supercell Slam,Body Press
Lycanroc-Dusk,Rock,,Tough Claws,Salac Berry,Adamant,252,4,124,,124,4,Bulk Up,Close Combat,Psychic Fangs,Accelerock
Vikavolt,Bug,Electric,Levitate,Blunder Policy,Timid,252,,,,116,140,Sticky Web,Zap Cannon,Bug Buzz,Air Slash
Krookodile,Ground,Dark,Moxie,Choice Scarf,Jolly,252,4,84,,164,4,Close Combat,Gunk Shot,Earthquake,Lash Out
Dragalge,Poison,Dragon,Adaptability,Eject Pack,Bold,252,,156,100,,,Toxic Spikes,Draco Meteor,Sludge Wave,Venoshock
Ceruledge,Fire,Ghost,Flash Fire,Sitrus Berry,Jolly,244,,212,,52,,Bulk Up,Flare Blitz,Poltergeist,Shadow Sneak
Sylveon,Fairy,,Pixilate,Big Root,Bold,252,,252,,,4,Yawn,Hyper Beam,Moonblast,Draining Kiss
Inteleon,Water,,Sniper,Scope Lens,Timid,252,,116,4,116,20,Snipe Shot,Air Cutter,U-Turn,Vacuum Wave
Magnezone,Electric,Steel,Analytic,Leftovers,Sassy,252,,76,,180,,Rest,Iron Defense,Thunder,Body Press
Archaludon,Steel,Dragon,Stamina,Light Clay,Calm,252,,4,,252,,Reflect,Light Screen,Thunder Wave,Body Press
Skarmory,Steel,Flying,Weak Armor,Liechi Berry,Adamant,252,108,,,148,,Swords Dance,Brave Bird,Iron Head,Reversal
Yanmega,Bug,Flying,Speed Boost,Assault Vest,Bold,244,,148,,116,,Bug Buzz,Shadow Ball,Air Slash,Giga Drain
Serperior,Grass,,Contrary,Light Clay,Modest,252,,,148,,108,Reflect,Light Screen,Leaf Storm,Giga Drain
Haxorus,Dragon,,Unnerve,Muscle Band,Jolly,252,,,,156,100,Close Combat,Outrage,First Impression,Stomping Tantrum
Garganacl,Rock,,Purifying Salt,Rocky Helmet,Careful,252,44,,,212,,Rest,Sandstorm,Salt Cure,Rock Blast
